Date,Market,Type,Price,Amount,Total
2018-01-14 08:48:28,ICXBTC,BUY,0.000714,2.97,0.00212058
2018-01-14 06:50:35,ICNBTC,SELL,0.00034822,6,0.00208932
2018-01-14 06:45:14,BTGBTC,BUY,0.025189,0.15,0.00377835
2018-01-14 06:12:02,ETCBTC,BUY,0.003066,0.02,0.00006132
2018-01-14 06:11:42,ETCBTC,BUY,0.003066,1.21,0.00370986
2018-01-14 05:59:05,LTCBTC,BUY,0.017757,0.27,0.00479439
2018-01-14 05:59:01,LTCBTC,BUY,0.017757,0.03,0.00053271
2018-01-13 21:08:55,ETCBTC,SELL,0.003,1.65,0.00495
2018-01-13 18:43:01,ETHBTC,SELL,0.099399,0.001,0.000099399
2018-01-13 18:43:00,ETHBTC,SELL,0.099399,0.023,0.002286177
2018-01-13 18:43:00,ETHBTC,SELL,0.099399,0.055,0.005466945
2018-01-10 06:44:45,XRPBTC,BUY,0.00013001,43,0.00559043
2018-01-10 06:12:42,XRPBTC,BUY,0.00013382,42,0.00562044
2018-01-10 05:43:29,WTCBTC,SELL,0.00119,3,0.00357
2018-01-10 05:34:03,ETHBTC,SELL,0.098062,0.079,0.007746898
2018-01-08 15:54:51,TRXBTC,BUY,0.00001,889,0.00889
2018-01-08 04:25:23,TRIGBTC,BUY,0.0003401,10.72,0.003645872
2018-01-08 04:19:46,IOTABTC,SELL,0.00025826,14,0.00361564
2018-01-07 04:55:58,ADABTC,BUY,0.00006048,39,0.00235872
2018-01-06 20:15:20,NEBLBTC,SELL,0.0012,1.99,0.002388
2018-01-05 05:07:38,GXSBTC,BUY,0.0005385,3.74,0.00201399
2018-01-03 18:28:43,WTCBTC,BUY,0.00067918,3,0.00203754
2018-01-03 18:19:09,GTOBTC,SELL,0.00004082,99,0.00404118
2018-01-02 19:40:53,TRXBTC,BUY,0.00000417,1081,0.00450777
2018-01-02 19:35:30,TRXBTC,BUY,0.00000451,1001,0.00451451
2018-01-02 04:12:12,ETCBTC,BUY,0.002276,1.27,0.00289052
2018-01-02 04:12:12,ETCBTC,BUY,0.002275,0.38,0.0008645
2018-01-02 04:11:47,XLMBTC,SELL,0.0000359,105,0.0037695
2017-12-31 06:21:14,TRXBTC,BUY,0.00000272,2380,0.0064736
2017-12-31 05:33:44,SALTBTC,BUY,0.000968,2.6,0.0025168
2017-12-31 05:30:26,BNBBTC,BUY,0.00062302,2,0.00124604
2017-12-31 05:09:11,TRXBTC,BUY,0.00000261,1307,0.00341127
2017-12-31 04:40:15,MODBTC,SELL,0.0005081,14.96,0.007601176
2017-12-30 18:23:29,CNDBTC,SELL,0.0000064,524,0.0033536
2017-12-30 07:33:30,XLMBTC,SELL,0.000026,104,0.002704
2017-12-23 18:52:09,MTLBTC,BUY,0.000616,1.69,0.00104104
2017-12-23 16:24:08,POWRBTC,BUY,0.00006517,16,0.00104272
2017-12-23 16:23:02,ICNBTC,BUY,0.0001388,7,0.0009716
2017-12-23 16:09:44,NEBLBTC,BUY,0.000539,2,0.001078
2017-12-23 15:36:04,ICXBTC,SELL,0.0002764,14.98,0.004140472
2017-12-22 14:23:18,ETHBTC,BUY,0.046062,0.072,0.003316464
2017-12-22 13:06:15,CNDBTC,BUY,0.0000032,1050,0.00336
2017-12-22 12:08:58,XLMBTC,BUY,0.0000158,210,0.003318
2017-12-22 11:07:15,TRXBTC,BUY,0.0000026,1274,0.0033124
2017-12-20 07:11:44,MODBTC,BUY,0.00012,14.98,0.0017976
2017-12-18 21:29:46,HSRBTC,BUY,0.00164,0.01,0.0000164
2017-12-18 21:29:46,HSRBTC,BUY,0.00164,1.07,0.0017548
2017-12-18 18:20:51,GTOBTC,BUY,0.000016,100,0.0016
2017-12-18 17:47:22,ICXBTC,BUY,0.0001154,15,0.001731
2017-12-14 19:01:56,ETHBTC,BUY,0.039757,0.042,0.001669794
2017-12-14 18:58:57,IOTABTC,BUY,0.00021283,7,0.00148981
2017-12-14 18:55:32,XRPBTC,SELL,0.000056,57,0.003192
2017-12-13 18:10:52,TRXBTC,BUY,0.00000065,184,0.0001196
2017-12-13 18:10:33,TRXBTC,SELL,0.00000064,187,0.00011968
2017-12-13 17:23:48,TRXBTC,BUY,0.0000006,188,0.0001128
2017-12-13 10:16:18,IOTABTC,BUY,0.0002525,8,0.00202
2017-12-13 10:15:57,SUBBTC,SELL,0.00002154,99,0.00213246
2017-12-13 10:12:26,XRPBTC,BUY,0.00002749,58,0.00159442
2017-12-13 10:11:30,LTCBTC,SELL,0.017946,0.08,0.00143568
2017-12-13 10:08:15,LTCBTC,BUY,0.018,0.01,0.00018
2017-12-13 10:08:15,LTCBTC,BUY,0.017997,0.16,0.00287952
2017-12-13 10:04:38,SUBBTC,BUY,0.00002168,100,0.002168
2017-12-13 10:02:19,ETHBTC,BUY,0.039165,0.045,0.001762425
